id,comment,author,likes,timestamp,is_reply,parent_id
1,"Hi Guys! Aku baru saja merilis single terbaru aku ""Nyaman"", kalian bisa tonton music videonya disini : https://www.youtube.com/watch?v=ciL_rtQo1PM",@agathachelseaofficial,6,2025-07-18T07:21:49Z,False,
2,"🎉 PROMO SPESIAL MEMBER BARU NIKESLOT88 🎉
💥 DAFTAR LANGSUNG PILIH BONUSNYA SENDIRI!
✅ FREE SPIN 5X — Pilih game favoritmu saat daftar",@mataharisore-q8l,0,2025-09-27T11:53:02Z,False,
3,1 M,@NgakakKomen,0,2025-09-27T02:10:21Z,False,
4,22:00,@user-nv9xb7kk4q,0,2025-09-12T10:05:09Z,False,
5,18:38,@user-nv9xb7kk4q,0,2025-09-12T03:54:28Z,False,
6,keren sendalnya bang radit,@sidikrabani5763,0,2025-09-03T09:25:36Z,False,
7,"Bulshit radit. Yg namanya investasi klu gk ada bentuknya itu bisa collapse atau bisa di tarik. Contoh loh jual pena tapi pena yg mau lho jual gk ada bentuknya, itu investasi digital gk akan bisa bikin sejahtera",@Catur.febri888,1,2025-08-30T23:18:59Z,False,
8,Bg radit anakny mau banteng merah gk,@zientamvlovers7100,0,2025-08-27T02:02:01Z,False,
9,ternyata selama ini yang salah ya diri gua sendiri wkwkwkw gabisa meningkatkan value diri biar dinilai lebih oleh orang lain,@agamsukatmariyadi2881,1,2025-08-21T12:25:26Z,False,
10,Kereen bangett sih emang bang radith,@lusitarosalina517,0,2025-08-20T11:17:55Z,False,
11,Bang Radit 🎉,@TikaSuryani-g5z,0,2025-08-04T12:29:30Z,False,
12,"Ci, kok gabisa di download ya?",@mastanii07,0,2025-08-02T23:41:09Z,False,
13,Bang Radit story telling nya bagus banget pantes emang penulis buku dan cerpen,@JelajahiDuniaFinance,2,2025-07-16T10:38:14Z,False,
14,Mantappp,@MaininAi,0,2025-07-01T09:43:19Z,False,
15,"21:13 mulai relate denganku sih, the value of money. 🙂👌",@kucing_oren99,0,2025-06-30T15:06:03Z,False,
16,Ilmunya bagus bang makasih tapi maaf salfok ke sandal bang radit yg warna pink selama podcast🙏🤏,@riskaamelia818,0,2025-06-28T15:36:19Z,False,
17,Panjang umur sehat selalu dan bahagia selalu semuaaaa🔥😊,@GNClasss,1,2025-06-13T03:55:02Z,False,
18,Gw harus belajar bahasa inggris nih untuk memikat hati agatha chelsea 😊 CHELSEA LOVE BAYERN MUNCHEN 😁 I AM MARLBORO BECAUSE YOU BEAUTIFUL WELCOME TO JUNGLE BRING ME TO LIFE 😂,@ElangdanAyam,0,2025-06-09T15:42:39Z,False,
19,"obrolan berat,kok jdi sedih y😢.
mana blm nikah lgi",@HR_0612,0,2025-05-29T13:57:06Z,False,
20,Bapak² emang yaa klo anak bilang minta beli ini itu langsung tancap gas . Teori parentingnya langsung ilang yg habis d pelajari kmren.  Istilahnya gak bisa mkir make asal sehat klo punya uang trs ank minta maenan 😂.,@yummafaa1513,1,2025-05-21T03:06:27Z,False,
21,jujur ak ngitungin chelsea ngmng “i see”🙃,@risaauliaf6418,0,2025-05-20T06:04:08Z,False,
22,"Thanks bang radit, saya jadi tau cara menghitung dana pensiun, dan thanks ka Agatha udah ngasih pertanyaan² bagus ke bang radit yg sangat bermanfaat yg relate buat saya anak gen Z 😂",@PosiTalk_ID,3,2025-05-16T03:24:40Z,False,
23,💟,@dedhekiem0284,0,2025-05-07T12:38:46Z,False,
