id,comment,cleanText,typoNormalized,translated,negationHandled,noStopword,tokens,stemmed,wordCount,finalText
1,Mana mungkin seorang Bang Raditya Dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment,"['mana', 'mungkin', 'seorang', 'bang', 'raditya', 'dika', 'pin', 'comment']",mana mungkin orang bang raditya dika pin comment,8,mana mungkin orang bang raditya dika pin comment
2,Wkwkw caper bet lu,wkwkw caper bet lu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,"['wkwkw', 'caper', 'bet', 'kamu']",wkwkw caper bet kamu,4,wkwkw caper bet kamu
3,Wkwkw caper bet lu,wkwkw caper bet lu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,"['wkwkw', 'caper', 'bet', 'kamu']",wkwkw caper bet kamu,4,wkwkw caper bet kamu
4,Wkwkw caper bet lu,wkwkw caper bet lu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,"['wkwkw', 'caper', 'bet', 'kamu']",wkwkw caper bet kamu,4,wkwkw caper bet kamu
5,"Wow, akun sepuh jg nih 🤭",wow akun sepuh jg nih,wow akun sepuh juga nih,wow akun sepuh juga nih,wow akun sepuh juga nih,wow akun sepuh nih,"['wow', 'akun', 'sepuh', 'nih']",wow akun sepuh nih,4,wow akun sepuh nih
6,​@prafastabima6331haha same aje lu,​ same aje lu,​ same saja kamu,​ same saja kamu,​ same saja kamu,​ same kamu,"['\u200b', 'same', 'kamu']", same kamu,3, same kamu
7,Rasain di Pin🤣🤣,rasain di pin,rasain di pin,rasain di pin,rasain di pin,rasain pin,"['rasain', 'pin']",rasain pin,2,rasain pin
8,😂😂😂😂😂😂,,,,,,[],,0,
9,"Di pin juga buat apa, gak bermanfaat",di pin juga buat apa gak bermanfaat,di pin juga buat apa tidak bermanfaat,di pin juga buat apa tidak bermanfaat,di pin juga buat apa mudarat,pin buat apa mudarat,"['pin', 'buat', 'apa', 'mudarat']",pin buat apa mudarat,4,pin buat apa mudarat
10,Di pin admin 🤣,di pin admin,di pin admin,di pin admin,di pin admin,pin admin,"['pin', 'admin']",pin admin,2,pin admin
11,😂,,,,,,[],,0,
12,Pesan moralnya adalah ga ada yang ga mungkin🧏‍♂️🕺,pesan moralnya adalah ga ada yang ga mungkin‍,pesan moralnya adalah tidak ada yang tidak mungkin‍,pesan moralnya adalah tidak ada yang tidak mungkin‍,pesan moralnya adalah tidak ada yang tidak mungkin‍,pesan moralnya yang tidak mungkin‍,"['pesan', 'moralnya', 'yang', 'tidak', 'mungkin\u200d']",pesan moral yang tidak mungkin,5,pesan moral yang tidak mungkin
