id,comment,cleanText,translated,noStopword,stemmed,tokens,wordCount,finalText,sentiment,confidence
1,"Hi Guys! Aku baru saja merilis single terbaru aku ""Nyaman"", kalian bisa tonton music videonya disini : https://www.youtube.com/watch?v=ciL_rtQo1PM",hi guys aku baru saja merilis single terbaru aku nyaman kalian bisa tonton music videonya disini,hi guys aku baru saja merilis single terbaru aku nyaman kalian bisa tonton music videonya disini,hi guys aku baru merilis single terbaru aku nyaman kalian tonton music videonya disini,hi guys aku baru rilis single baru aku nyaman kalian tonton music video sini,"['hi', 'guys', 'aku', 'baru', 'rilis', 'single', 'baru', 'aku', 'nyaman', 'kalian', 'tonton', 'music', 'video', 'sini']",14,hi guys aku baru rilis single baru aku nyaman kalian tonton music video sini,Positif,High
2,"🎉 PROMO SPESIAL MEMBER BARU NIKESLOT88 🎉
💥 DAFTAR LANGSUNG PILIH BONUSNYA SENDIRI!
✅ FREE SPIN 5X — Pilih game favoritmu saat daftar",promo spesial member baru nikeslot daftar langsung pilih bonusnya sendiri free spin x — pilih game favoritmu saat daftar,promo spesial member baru nikeslot daftar langsung pilih bonusnya sendiri free spin x — pilih game favoritmu saat daftar,promo spesial member baru nikeslot daftar langsung pilih bonusnya sendiri free spin x — pilih game favoritmu daftar,promo spesial member baru nikeslot daftar langsung pilih bonus sendiri free spin x pilih game favorit daftar,"['promo', 'spesial', 'member', 'baru', 'nikeslot', 'daftar', 'langsung', 'pilih', 'bonus', 'sendiri', 'free', 'spin', 'x', 'pilih', 'game', 'favorit', 'daftar']",17,promo spesial member baru nikeslot daftar langsung pilih bonus sendiri free spin x pilih game favorit daftar,Negatif,High
4,22:00,,,,,[],0,,Netral,Low
6,keren sendalnya bang radit,keren sendalnya bang radit,keren sendalnya bang radit,keren sendalnya bang radit,keren sendal bang radit,"['keren', 'sendal', 'bang', 'radit']",4,keren sendal bang radit,Positif,Medium
9,ternyata selama ini yang salah ya diri gua sendiri wkwkwkw gabisa meningkatkan value diri biar dinilai lebih oleh orang lain,ternyata selama ini yang salah ya diri gua sendiri wkwkwkw gabisa meningkatkan value diri biar dinilai lebih oleh orang lain,ternyata selama ini yang salah ya diri gua sendiri wkwkwkw gabisa meningkatkan value diri biar dinilai lebih oleh orang lain,ternyata selama yang salah diri gua sendiri wkwkwkw gabisa meningkatkan value diri biar dinilai lebih orang,nyata lama yang salah diri gua sendiri wkwkwkw gabisa tingkat value diri biar nilai lebih orang,"['nyata', 'lama', 'yang', 'salah', 'diri', 'gua', 'sendiri', 'wkwkwkw', 'gabisa', 'tingkat', 'value', 'diri', 'biar', 'nilai', 'lebih', 'orang']",16,nyata lama yang salah diri gua sendiri wkwkwkw gabisa tingkat value diri biar nilai lebih orang,Negatif,High
10,Kereen bangett sih emang bang radith,kereen bangett sih emang bang radith,kereen bangett sih emang bang radith,kereen bangett sih emang bang radith,kereen bangett sih emang bang radith,"['kereen', 'bangett', 'sih', 'emang', 'bang', 'radith']",6,kereen bangett sih emang bang radith,Negatif,Medium
11,Bang Radit 🎉,bang radit,bang radit,bang radit,bang radit,"['bang', 'radit']",2,bang radit,Netral,Low
13,Bang Radit story telling nya bagus banget pantes emang penulis buku dan cerpen,bang radit story telling nya bagus banget pantes emang penulis buku dan cerpen,bang radit story telling nya bagus banget pantes emang penulis buku dan cerpen,bang radit story telling nya bagus banget pantes emang penulis buku cerpen,bang radit story telling nya bagus banget pantes emang tulis buku cerpen,"['bang', 'radit', 'story', 'telling', 'nya', 'bagus', 'banget', 'pantes', 'emang', 'tulis', 'buku', 'cerpen']",12,bang radit story telling nya bagus banget pantes emang tulis buku cerpen,Netral,Medium
18,Gw harus belajar bahasa inggris nih untuk memikat hati agatha chelsea 😊 CHELSEA LOVE BAYERN MUNCHEN 😁 I AM MARLBORO BECAUSE YOU BEAUTIFUL WELCOME TO JUNGLE BRING ME TO LIFE 😂,gw harus belajar bahasa inggris nih untuk memikat hati agatha chelsea chelsea love bayern munchen i am marlboro because you beautiful welcome to jungle bring me to life,GW HARUS BELAJAR BAHASA INGGRIS NIH UNTUK MEMIKAT HATI AGATHA CHELSEA CHELSEA LOVE BAYERN MUNCHEN I Am Marlboro karena Anda indah selamat datang di hutan menghidupkan saya,GW HARUS BELAJAR BAHASA INGGRIS NIH UNTUK MEMIKAT HATI AGATHA CHELSEA CHELSEA LOVE BAYERN MUNCHEN I Am Marlboro Anda indah selamat datang hutan menghidupkan,gw harus ajar bahasa inggris nih untuk mikat hati agatha chelsea chelsea love bayern munchen i am marlboro anda indah selamat datang hutan hidup,"['gw', 'harus', 'ajar', 'bahasa', 'inggris', 'nih', 'untuk', 'mikat', 'hati', 'agatha', 'chelsea', 'chelsea', 'love', 'bayern', 'munchen', 'i', 'am', 'marlboro', 'anda', 'indah', 'selamat', 'datang', 'hutan', 'hidup']",24,gw harus ajar bahasa inggris nih untuk mikat hati agatha chelsea chelsea love bayern munchen i am marlboro anda indah selamat datang hutan hidup,Positif,High
19,"obrolan berat,kok jdi sedih y😢.
mana blm nikah lgi",obrolan beratkok jdi sedih y mana blm nikah lgi,obrolan beratkok jdi sedih y mana blm nikah lgi,obrolan beratkok jdi sedih y mana blm nikah lgi,obrol beratkok jdi sedih y mana blm nikah lgi,"['obrol', 'beratkok', 'jdi', 'sedih', 'y', 'mana', 'blm', 'nikah', 'lgi']",9,obrol beratkok jdi sedih y mana blm nikah lgi,Negatif,Medium
